Entity;State;Week;Day;Flights;Flights (7-day moving average);Day 2019;Flights 2019 (Reference);% vs 2019 (Daily);% vs 2019 (7-day Moving Average)
AMSTERDAM ACC;Netherlands;1;2020-01-01;1299;1369,3;2019-01-02;1466;-11,39%;-1,71%
AMSTERDAM ACC;Netherlands;1;2020-01-02;1511;1390,1;2019-01-03;1539;-1,82%;-1,96%
AMSTERDAM ACC;Netherlands;1;2020-01-03;1505;1394,1;2019-01-04;1540;-2,27%;-2,30%
AMSTERDAM ACC;Netherlands;1;2020-01-04;1250;1389,6;2019-01-05;1289;-3,03%;-2,69%
AMSTERDAM ACC;Netherlands;1;2020-01-05;1492;1396,6;2019-01-06;1480;0,81%;-2,56%
AMSTERDAM ACC;Netherlands;2;2020-01-06;1536;1404,1;2019-01-07;1568;-2,04%;-2,86%
AMSTERDAM ACC;Netherlands;2;2020-01-07;1395;1426,9;2019-01-08;1088;28,22%;0,18%
AMSTERDAM ACC;Netherlands;2;2020-01-08;1430;1445,6;2019-01-09;1452;-1,52%;1,64%
AMSTERDAM ACC;Netherlands;2;2020-01-09;1493;1443,0;2019-01-10;1507;-0,93%;1,78%
AMSTERDAM ACC;Netherlands;2;2020-01-10;1530;1446,6;2019-01-11;1492;2,55%;2,53%
AMSTERDAM ACC;Netherlands;2;2020-01-11;1158;1433,4;2019-01-12;1126;2,84%;3,30%
AMSTERDAM ACC;Netherlands;2;2020-01-12;1442;1426,3;2019-01-13;1229;17,33%;5,52%
AMSTERDAM ACC;Netherlands;3;2020-01-13;1522;1424,3;2019-01-14;1532;-0,65%;5,77%
AMSTERDAM ACC;Netherlands;3;2020-01-14;1328;1414,7;2019-01-15;1348;-1,48%;2,24%
AMSTERDAM ACC;Netherlands;3;2020-01-15;1407;1411,4;2019-01-16;1438;-2,16%;2,15%
AMSTERDAM ACC;Netherlands;3;2020-01-16;1546;1419,0;2019-01-17;1536;0,65%;2,39%
AMSTERDAM ACC;Netherlands;3;2020-01-17;1491;1413,4;2019-01-18;1521;-1,97%;1,69%
AMSTERDAM ACC;Netherlands;3;2020-01-18;1123;1408,4;2019-01-19;1140;-1,49%;1,18%
AMSTERDAM ACC;Netherlands;3;2020-01-19;1419;1405,1;2019-01-20;1414;0,35%;-0,94%
AMSTERDAM ACC;Netherlands;4;2020-01-20;1497;1401,6;2019-01-21;1545;-3,11%;-1,32%
AMSTERDAM ACC;Netherlands;4;2020-01-21;1396;1411,3;2019-01-22;1351;3,33%;-0,66%
AMSTERDAM ACC;Netherlands;4;2020-01-22;1375;1406,7;2019-01-23;1418;-3,03%;-0,79%
AMSTERDAM ACC;Netherlands;4;2020-01-23;1515;1402,3;2019-01-24;1529;-0,92%;-1,03%
AMSTERDAM ACC;Netherlands;4;2020-01-24;1532;1408,1;2019-01-25;1518;0,92%;-0,58%
AMSTERDAM ACC;Netherlands;4;2020-01-25;1123;1408,1;2019-01-26;1113;0,90%;-0,31%
AMSTERDAM ACC;Netherlands;4;2020-01-26;1422;1408,6;2019-01-27;1413;0,64%;-0,27%
AMSTERDAM ACC;Netherlands;5;2020-01-27;1516;1411,3;2019-01-28;1560;-2,82%;-0,23%
AMSTERDAM ACC;Netherlands;5;2020-01-28;1347;1404,3;2019-01-29;1402;-3,92%;-1,24%
AMSTERDAM ACC;Netherlands;5;2020-01-29;1414;1409,9;2019-01-30;1397;1,22%;-0,63%
AMSTERDAM ACC;Netherlands;5;2020-01-30;1539;1413,3;2019-01-31;1570;-1,97%;-0,80%
AMSTERDAM ACC;Netherlands;5;2020-01-31;1513;1410,6;2019-02-01;1528;-0,98%;-1,09%
AMSTERDAM ACC;Netherlands;5;2020-02-01;1137;1412,6;2019-02-02;1154;-1,47%;-1,36%
AMSTERDAM ACC;Netherlands;5;2020-02-02;1416;1411,7;2019-02-03;1429;-0,91%;-1,57%
AMSTERDAM ACC;Netherlands;6;2020-02-03;1555;1417,3;2019-02-04;1586;-1,95%;-1,44%
AMSTERDAM ACC;Netherlands;6;2020-02-04;1379;1421,9;2019-02-05;1431;-3,63%;-1,41%
AMSTERDAM ACC;Netherlands;6;2020-02-05;1440;1425,6;2019-02-06;1481;-2,77%;-1,96%
AMSTERDAM ACC;Netherlands;6;2020-02-06;1545;1426,4;2019-02-07;1605;-3,74%;-2,24%
AMSTERDAM ACC;Netherlands;6;2020-02-07;1511;1426,1;2019-02-08;1581;-4,43%;-2,77%
AMSTERDAM ACC;Netherlands;6;2020-02-08;1160;1429,4;2019-02-09;1159;0,09%;-2,59%
AMSTERDAM ACC;Netherlands;6;2020-02-09;1090;1382,9;2019-02-10;1418;-23,13%;-5,66%
AMSTERDAM ACC;Netherlands;7;2020-02-10;1219;1334,9;2019-02-11;1569;-22,31%;-8,79%
AMSTERDAM ACC;Netherlands;7;2020-02-11;1294;1322,7;2019-02-12;1446;-10,51%;-9,75%
AMSTERDAM ACC;Netherlands;7;2020-02-12;1465;1326,3;2019-02-13;1491;-1,74%;-9,59%
AMSTERDAM ACC;Netherlands;7;2020-02-13;1559;1328,3;2019-02-14;1611;-3,23%;-9,51%
AMSTERDAM ACC;Netherlands;7;2020-02-14;1589;1339,4;2019-02-15;1629;-2,46%;-9,17%
AMSTERDAM ACC;Netherlands;7;2020-02-15;1255;1353,0;2019-02-16;1297;-3,24%;-9,46%
AMSTERDAM ACC;Netherlands;7;2020-02-16;1451;1404,6;2019-02-17;1533;-5,35%;-7,03%
AMSTERDAM ACC;Netherlands;8;2020-02-17;1596;1458,4;2019-02-18;1585;0,69%;-3,62%
AMSTERDAM ACC;Netherlands;8;2020-02-18;1489;1486,3;2019-02-19;1497;-0,53%;-2,25%
AMSTERDAM ACC;Netherlands;8;2020-02-19;1523;1494,6;2019-02-20;1512;0,73%;-1,89%
AMSTERDAM ACC;Netherlands;8;2020-02-20;1586;1498,4;2019-02-21;1627;-2,52%;-1,79%
AMSTERDAM ACC;Netherlands;8;2020-02-21;1621;1503,0;2019-02-22;1601;1,25%;-1,23%
AMSTERDAM ACC;Netherlands;8;2020-02-22;1281;1506,7;2019-02-23;1315;-2,59%;-1,15%
AMSTERDAM ACC;Netherlands;8;2020-02-23;1308;1486,3;2019-02-24;1561;-16,21%;-2,75%
AMSTERDAM ACC;Netherlands;9;2020-02-24;1575;1483,3;2019-02-25;1666;-5,46%;-3,67%
AMSTERDAM ACC;Netherlands;9;2020-02-25;1499;1484,7;2019-02-26;1515;-1,06%;-3,74%
AMSTERDAM ACC;Netherlands;9;2020-02-26;1510;1482,9;2019-02-27;1533;-1,50%;-4,05%
AMSTERDAM ACC;Netherlands;9;2020-02-27;1606;1485,7;2019-02-28;1582;1,52%;-3,46%
AMSTERDAM ACC;Netherlands;9;2020-02-28;1620;1485,6;2019-03-01;1638;-1,10%;-3,80%
AMSTERDAM ACC;Netherlands;9;2020-02-29;1273;1484,4;2019-03-02;1321;-3,63%;-3,93%
AMSTERDAM ACC;Netherlands;9;2020-03-01;1506;1512,7;2019-03-03;1533;-1,76%;-1,84%
AMSTERDAM ACC;Netherlands;10;2020-03-02;1626;1520,0;2019-03-04;1526;6,55%;-0,08%
