Entity;State;Week;Day;Flights;Flights (7-day moving average);Day 2019;Flights 2019 (Reference);% vs 2019 (Daily);% vs 2019 (7-day Moving Average);Day Previous Year;Flights Previous Year
AGADIR ACC;Morocco;39;2021-10-01;440;449,3;2019-10-04;531;-17,14%;-20,78%;2020-10-02;192
AGADIR ACC;Morocco;39;2021-10-02;666;457,4;2019-10-05;739;-9,88%;-20,11%;2020-10-03;260
AGADIR ACC;Morocco;39;2021-10-03;501;458,4;2019-10-06;583;-14,07%;-20,33%;2020-10-04;231
AGADIR ACC;Morocco;40;2021-10-04;426;464,1;2019-10-07;552;-22,83%;-19,66%;2020-10-05;156
AGADIR ACC;Morocco;40;2021-10-05;419;466,4;2019-10-08;549;-23,68%;-19,40%;2020-10-06;146
AGADIR ACC;Morocco;40;2021-10-06;426;472,1;2019-10-09;550;-22,55%;-18,33%;2020-10-07;172
AGADIR ACC;Morocco;40;2021-10-07;507;483,6;2019-10-10;546;-7,14%;-16,42%;2020-10-08;146
AGADIR ACC;Morocco;40;2021-10-08;476;488,7;2019-10-11;538;-11,52%;-15,68%;2020-10-09;185
AGADIR ACC;Morocco;40;2021-10-09;714;495,6;2019-10-12;755;-5,43%;-14,83%;2020-10-10;271
AGADIR ACC;Morocco;40;2021-10-10;557;503,6;2019-10-13;645;-13,64%;-14,75%;2020-10-11;222
AGADIR ACC;Morocco;41;2021-10-11;433;504,6;2019-10-14;558;-22,40%;-14,71%;2020-10-12;145
AGADIR ACC;Morocco;41;2021-10-12;489;514,6;2019-10-15;586;-16,55%;-13,79%;2020-10-13;165
AGADIR ACC;Morocco;41;2021-10-13;456;518,9;2019-10-16;569;-19,86%;-13,46%;2020-10-14;157
AGADIR ACC;Morocco;41;2021-10-14;506;518,7;2019-10-17;595;-14,96%;-14,48%;2020-10-15;140
AGADIR ACC;Morocco;41;2021-10-15;542;528,1;2019-10-18;644;-15,84%;-15,05%;2020-10-16;196
AGADIR ACC;Morocco;41;2021-10-16;737;531,4;2019-10-19;855;-13,80%;-16,44%;2020-10-17;292
AGADIR ACC;Morocco;41;2021-10-17;600;537,6;2019-10-20;694;-13,54%;-16,40%;2020-10-18;237
AGADIR ACC;Morocco;42;2021-10-18;462;541,7;2019-10-21;567;-18,52%;-15,92%;2020-10-19;164
AGADIR ACC;Morocco;42;2021-10-19;482;540,7;2019-10-22;586;-17,75%;-16,08%;2020-10-20;125
AGADIR ACC;Morocco;42;2021-10-20;449;539,7;2019-10-23;623;-27,93%;-17,22%;2020-10-21;137
AGADIR ACC;Morocco;42;2021-10-21;496;538,3;2019-10-24;604;-17,88%;-17,60%;2020-10-22;140
AGADIR ACC;Morocco;42;2021-10-22;536;537,4;2019-10-25;610;-12,13%;-17,12%;2020-10-23;172
AGADIR ACC;Morocco;42;2021-10-23;776;543;2019-10-26;898;-13,59%;-17,04%;2020-10-24;319
AGADIR ACC;Morocco;42;2021-10-24;644;549,3;2019-10-27;762;-15,49%;-17,31%;2020-10-25;261
AGADIR ACC;Morocco;43;2021-10-25;455;548,3;2019-10-28;617;-26,26%;-18,34%;2020-10-26;174
AGADIR ACC;Morocco;43;2021-10-26;451;543,9;2019-10-29;681;-33,77%;-20,60%;2020-10-27;150
AGADIR ACC;Morocco;43;2021-10-27;438;542,3;2019-10-30;654;-33,03%;-21,34%;2020-10-28;145
AGADIR ACC;Morocco;43;2021-10-28;518;545,4;2019-10-31;656;-21,04%;-21,73%;2020-10-29;172
AGADIR ACC;Morocco;43;2021-10-29;544;546,6;2019-11-01;657;-17,20%;-22,31%;2020-10-30;213
AGADIR ACC;Morocco;43;2021-10-30;871;560,1;2019-11-02;1048;-16,89%;-22,74%;2020-10-31;382
AGADIR ACC;Morocco;43;2021-10-31;704;568,7;2019-11-03;830;-15,18%;-22,59%;2020-11-01;285
AGADIR ACC;Morocco;44;2021-11-01;537;580,4;2019-11-04;628;-14,49%;-21,17%;2020-11-02;191
AGADIR ACC;Morocco;44;2021-11-02;582;599,1;2019-11-05;628;-7,32%;-17,78%;2020-11-03;152
AGADIR ACC;Morocco;44;2021-11-03;506;608,9;2019-11-06;564;-10,28%;-14,95%;2020-11-04;134
AGADIR ACC;Morocco;44;2021-11-04;559;614,7;2019-11-07;595;-6,05%;-13,07%;2020-11-05;131
AGADIR ACC;Morocco;44;2021-11-05;566;617,9;2019-11-08;596;-5,03%;-11,54%;2020-11-06;186
AGADIR ACC;Morocco;44;2021-11-06;996;635,7;2019-11-09;964;3,32%;-7,39%;2020-11-07;394
AGADIR ACC;Morocco;44;2021-11-07;758;643,4;2019-11-10;689;10,01%;-3,43%;2020-11-08;275
AGADIR ACC;Morocco;45;2021-11-08;563;647,1;2019-11-11;562;0,18%;-1,48%;2020-11-09;177
AGADIR ACC;Morocco;45;2021-11-09;537;640,7;2019-11-12;563;-4,62%;-1,06%;2020-11-10;127
AGADIR ACC;Morocco;45;2021-11-10;504;640,4;2019-11-13;551;-8,53%;-0,82%;2020-11-11;139
AGADIR ACC;Morocco;45;2021-11-11;557;640,1;2019-11-14;578;-3,63%;-0,49%;2020-11-12;126
AGADIR ACC;Morocco;45;2021-11-12;570;640,7;2019-11-15;570;0,00%;0,18%;2020-11-13;180
AGADIR ACC;Morocco;45;2021-11-13;905;627,7;2019-11-16;927;-2,37%;-1,04%;2020-11-14;325
AGADIR ACC;Morocco;45;2021-11-14;710;620,9;2019-11-17;731;-2,87%;-3,03%;2020-11-15;241
AGADIR ACC;Morocco;46;2021-11-15;547;618,6;2019-11-18;541;1,11%;-2,94%;2020-11-16;156
AGADIR ACC;Morocco;46;2021-11-16;493;612,3;2019-11-19;572;-13,81%;-4,12%;2020-11-17;104
AGADIR ACC;Morocco;46;2021-11-17;488;610;2019-11-20;564;-13,48%;-4,75%;2020-11-18;120
AGADIR ACC;Morocco;46;2021-11-18;541;607,7;2019-11-21;573;-5,58%;-5,00%;2020-11-19;102
AGADIR ACC;Morocco;46;2021-11-19;562;606,6;2019-11-22;604;-6,95%;-5,90%;2020-11-20;148
AGADIR ACC;Morocco;46;2021-11-20;927;609,7;2019-11-23;950;-2,42%;-5,89%;2020-11-21;285
AGADIR ACC;Morocco;46;2021-11-21;719;611;2019-11-24;720;-0,14%;-5,46%;2020-11-22;212
AGADIR ACC;Morocco;47;2021-11-22;540;610;2019-11-25;540;0,00%;-5,59%;2020-11-23;140
AGADIR ACC;Morocco;47;2021-11-23;506;611,9;2019-11-26;515;-1,75%;-4,10%;2020-11-24;78
AGADIR ACC;Morocco;47;2021-11-24;500;613,6;2019-11-27;523;-4,40%;-2,94%;2020-11-25;109
AGADIR ACC;Morocco;47;2021-11-25;577;618,7;2019-11-28;555;3,96%;-1,72%;2020-11-26;94
AGADIR ACC;Morocco;47;2021-11-26;541;615,7;2019-11-29;596;-9,23%;-2,02%;2020-11-27;149
AGADIR ACC;Morocco;47;2021-11-27;909;613,1;2019-11-30;947;-4,01%;-2,37%;2020-11-28;289
AGADIR ACC;Morocco;47;2021-11-28;678;607,3;2019-12-01;685;-1,02%;-2,52%;2020-11-29;192
AGADIR ACC;Morocco;48;2021-11-29;527;605,4;2019-12-02;465;13,33%;-1,12%;2020-11-30;134
AGADIR ACC;Morocco;48;2021-11-30;495;603,9;2019-12-03;481;2,91%;-0,59%;2020-12-01;103
AGADIR ACC;Morocco;48;2021-12-01;414;591,6;2019-12-04;544;-23,90%;-3,09%;2020-12-02;144
AGADIR ACC;Morocco;48;2021-12-02;458;574,6;2019-12-05;478;-4,18%;-4,15%;2020-12-03;153
AGADIR ACC;Morocco;48;2021-12-03;532;573,3;2019-12-06;479;11,06%;-1,62%;2020-12-04;198
AGADIR ACC;Morocco;48;2021-12-04;865;567;2019-12-07;741;16,73%;2,48%;2020-12-05;357
AGADIR ACC;Morocco;48;2021-12-05;646;562,4;2019-12-08;668;-3,29%;2,10%;2020-12-06;213
AGADIR ACC;Morocco;49;2021-12-06;484;556,3;2019-12-09;543;-10,87%;-1,02%;2020-12-07;157
AGADIR ACC;Morocco;49;2021-12-07;505;557,7;2019-12-10;464;8,84%;-0,33%;2020-12-08;149
AGADIR ACC;Morocco;49;2021-12-08;513;571,9;2019-12-11;519;-1,16%;2,85%;2020-12-09;142
AGADIR ACC;Morocco;49;2021-12-09;532;582,4;2019-12-12;489;8,79%;4,46%;2020-12-10;137
AGADIR ACC;Morocco;49;2021-12-10;533;582,6;2019-12-13;562;-5,16%;2,31%;2020-12-11;187
AGADIR ACC;Morocco;49;2021-12-11;833;578;2019-12-14;898;-7,24%;-2,34%;2020-12-12;347
AGADIR ACC;Morocco;49;2021-12-12;669;581,3;2019-12-15;707;-5,37%;-2,70%;2020-12-13;253
AGADIR ACC;Morocco;50;2021-12-13;520;586,4;2019-12-16;539;-3,53%;-1,75%;2020-12-14;195
AGADIR ACC;Morocco;50;2021-12-14;509;587;2019-12-17;517;-1,55%;-2,88%;2020-12-15;157
AGADIR ACC;Morocco;50;2021-12-15;495;584,4;2019-12-18;572;-13,46%;-4,51%;2020-12-16;201
AGADIR ACC;Morocco;50;2021-12-16;553;587,4;2019-12-19;643;-14,00%;-7,35%;2020-12-17;249
AGADIR ACC;Morocco;50;2021-12-17;583;594,6;2019-12-20;693;-15,87%;-8,91%;2020-12-18;269
AGADIR ACC;Morocco;50;2021-12-18;949;611,1;2019-12-21;978;-2,97%;-7,98%;2020-12-19;568
AGADIR ACC;Morocco;50;2021-12-19;734;620,4;2019-12-22;780;-5,90%;-8,03%;2020-12-20;392
AGADIR ACC;Morocco;51;2021-12-20;615;634;2019-12-23;657;-6,39%;-8,31%;2020-12-21;245
AGADIR ACC;Morocco;51;2021-12-21;601;647,1;2019-12-24;594;1,18%;-7,87%;2020-12-22;294
AGADIR ACC;Morocco;51;2021-12-22;608;663,3;2019-12-25;446;36,32%;-3,09%;2020-12-23;291
AGADIR ACC;Morocco;51;2021-12-23;663;679;2019-12-26;654;1,38%;-1,02%;2020-12-24;214
AGADIR ACC;Morocco;51;2021-12-24;579;678,4;2019-12-27;663;-12,67%;-0,48%;2020-12-25;157
