Entity;Week;Day;Flights;Flights (7-day moving average);Day 2019;Flights 2019 (Reference);% vs 2019 (Daily);% vs 2019 (7-day Moving Average);Day Previous Year;Flights Previous Year
AEGEAN Group;39;2021-10-01;286;290,1;2019-10-04;369;-22,49%;-21,73%;2020-10-02;196
AEGEAN Group;39;2021-10-02;292;288,1;2019-10-05;353;-17,28%;-21,15%;2020-10-03;223
AEGEAN Group;39;2021-10-03;286;283,9;2019-10-06;371;-22,91%;-21,83%;2020-10-04;214
AEGEAN Group;40;2021-10-04;280;282;2019-10-07;354;-20,90%;-21,32%;2020-10-05;195
AEGEAN Group;40;2021-10-05;255;280,1;2019-10-08;313;-18,53%;-20,96%;2020-10-06;126
AEGEAN Group;40;2021-10-06;250;276;2019-10-09;333;-24,92%;-21,21%;2020-10-07;136
AEGEAN Group;40;2021-10-07;255;272;2019-10-10;344;-25,87%;-21,87%;2020-10-08;162
AEGEAN Group;40;2021-10-08;273;270,1;2019-10-11;358;-23,74%;-22,05%;2020-10-09;184
AEGEAN Group;40;2021-10-09;283;268,9;2019-10-12;337;-16,02%;-21,91%;2020-10-10;209
AEGEAN Group;40;2021-10-10;275;267,3;2019-10-13;354;-22,32%;-21,81%;2020-10-11;203
AEGEAN Group;41;2021-10-11;276;266,7;2019-10-14;345;-20,00%;-21,69%;2020-10-12;180
AEGEAN Group;41;2021-10-12;249;265,9;2019-10-15;289;-13,84%;-21,14%;2020-10-13;116
AEGEAN Group;41;2021-10-13;247;265,4;2019-10-16;328;-24,70%;-21,10%;2020-10-14;131
AEGEAN Group;41;2021-10-14;246;264,1;2019-10-17;332;-25,90%;-21,08%;2020-10-15;2
AEGEAN Group;41;2021-10-15;264;262,9;2019-10-18;343;-23,03%;-20,96%;2020-10-16;185
AEGEAN Group;41;2021-10-16;297;264,9;2019-10-19;340;-12,65%;-20,46%;2020-10-17;204
AEGEAN Group;41;2021-10-17;274;264,7;2019-10-20;347;-21,04%;-20,27%;2020-10-18;181
AEGEAN Group;42;2021-10-18;260;262,4;2019-10-21;341;-23,75%;-20,82%;2020-10-19;159
AEGEAN Group;42;2021-10-19;242;261,4;2019-10-22;275;-12,00%;-20,64%;2020-10-20;125
AEGEAN Group;42;2021-10-20;249;261,7;2019-10-23;320;-22,19%;-20,28%;2020-10-21;120
AEGEAN Group;42;2021-10-21;248;262;2019-10-24;312;-20,51%;-19,49%;2020-10-22;155
AEGEAN Group;42;2021-10-22;281;264,4;2019-10-25;340;-17,35%;-18,64%;2020-10-23;179
AEGEAN Group;42;2021-10-23;289;263,3;2019-10-26;320;-9,69%;-18,27%;2020-10-24;189
AEGEAN Group;42;2021-10-24;271;262,9;2019-10-27;276;-1,81%;-15,75%;2020-10-25;179
AEGEAN Group;43;2021-10-25;247;261;2019-10-28;304;-18,75%;-14,90%;2020-10-26;162
AEGEAN Group;43;2021-10-26;229;259,1;2019-10-29;245;-6,53%;-14,31%;2020-10-27;100
AEGEAN Group;43;2021-10-27;239;257,7;2019-10-30;263;-9,13%;-12,43%;2020-10-28;126
AEGEAN Group;43;2021-10-28;240;256,6;2019-10-31;287;-16,38%;-11,74%;2020-10-29;150
AEGEAN Group;43;2021-10-29;259;253,4;2019-11-01;305;-15,08%;-11,30%;2020-10-30;156
AEGEAN Group;43;2021-10-30;278;251,9;2019-11-02;272;2,21%;-9,68%;2020-10-31;148
AEGEAN Group;43;2021-10-31;260;250,3;2019-11-03;293;-11,26%;-11,02%;2020-11-01;179
