APT_ICAO;APT_NAME;LAT;LONG
AYGA;GOROKA;-6,08200;145,392
AYLA;;0,00000;0
AYMD;MADANG;-5,20700;145,789
AYMH;MOUNT HAGEN;-5,82600;144,296
AYNZ;NADZAB;-6,57000;146,726
AYPY;PORT MORESBY JACKSONS INTERNATIONAL;-9,44300;147,22
AYRB;;0,00000;0
AYWK;WEWAK INTERNATIONAL;-3,58400;143,669
BGAM;;0,00000;0
BGAS;;0,00000;0
BGAT;;0,00000;0
BGBW;NARSARSUAQ;61,16100;-45,427
BGCH;;0,00000;0
BGCO;NERLERIT INAAT CONSTABLE PYNT;70,73900;-22,646
BGDB;;0,00000;0
BGDH;;0,00000;0
BGDU;;0,00000;0
BGEM;;0,00000;0
BGFD;;0,00000;0
BGFH;;0,00000;0
BGGD;;0,00000;0
BGGH;NUUK;64,19100;-51,678
BGGN;;0,00000;0
BGHB;;0,00000;0
BGIS;;0,00000;0
BGIT;;0,00000;0
BGJH;;0,00000;0
BGJN;JACOBSHAVN;69,23300;-51,067
BGKD;;0,00000;0
BGKK;KULUSUK;65,58300;-37,15
BGKM;;0,00000;0
BGKT;;0,00000;0
BGMV;;0,00000;0
BGNN;;0,00000;0
BGNS;;0,00000;0
BGOS;;0,00000;0
BGPC;;0,00000;0
BGRS;;0,00000;0
BGSC;;0,00000;0
BGSF;KANGERLUSSUAQ SONDRE STROMFJORD;67,01700;-50,689
BGSG;;0,00000;0
BGST;;0,00000;0
BGTL;THULE AIR BASE;76,53100;-68,703
BGTM;;0,00000;0
BGTN;;0,00000;0
BGUM;;0,00000;0
BGUP;;0,00000;0
BIAR;AKUREYRI;65,66000;-18,072
BIBL;;0,00000;0
BIDV;;0,00000;0
BIEG;EGILSSTADIR;65,28300;-14,401
BIFM;;0,00000;0
BIGR;;0,00000;0
BIHN;HORNAFJORDUR;64,29600;-15,227
BIHU;HUSAVIK;65,95200;-17,426
BIIS;ISAFJORDUR;66,05800;-23,135
BIKF;KEFLAVIK NAS;63,98500;-22,606
BIKP;KOPASKER;66,31400;-16,461
BIKR;;0,00000;0
BINF;;0,00000;0
BIPA;PATREKSFJORDUR;65,55600;-23,965
BIRG;;0,00000;0
BIRK;REYKJAVIK;64,13000;-21,941
BISI;SIGLUFJORDHUR;66,13300;-18,917
BISS;;0,00000;0
BIST;;0,00000;0
BITE;;0,00000;0
BITH;;0,00000;0
BIVM;VESTMANNAEYJAR;63,42400;-20,279
BIVO;;0,00000;0
BZGD;;0,00000;0
CUAP;;0,00000;0
